instance,set,dist_mode,mu,lambda,alpha1,alpha2,seed_rule,tiebreak,vehicles,schedule_time,distance,waiting_time,service_time,cpu_ms,feasible
C105,C1,double,1,1,1,0,deadline,0,10,9941.7102,869.4803,72.2299,9000.0000,0,1
C105,C1,double,1,2,1,0,far,0,10,9963.4419,880.7171,82.7248,9000.0000,0,1
C105,C1,double,1,2,1,0,deadline,0,12,10634.8641,1344.4326,290.4315,9000.0000,0,1
C105,C1,double,1,1,0,1,far,0,12,10765.0374,1218.1333,546.9041,9000.0000,0,1
C105,C1,double,1,1,0,1,deadline,0,10,9860.7687,860.7687,0.0000,9000.0000,0,1
C105,C1,double,1,2,0,1,far,0,12,10874.6361,1227.1917,647.4444,9000.0000,0,1
C105,C1,double,1,2,0,1,deadline,0,11,10601.1237,1286.8867,314.2369,9000.0000,0,1
C106,C1,trunc,1,1,1,0,far,0,11,10104.7000,949.9000,154.8000,9000.0000,0,1
C106,C1,trunc,1,1,1,0,deadline,0,10,9916.7000,908.2000,8.5000,9000.0000,0,1
C106,C1,trunc,1,2,1,0,far,0,11,10093.1000,951.2000,141.9000,9000.0000,0,1
C106,C1,trunc,1,2,1,0,deadline,0,12,10842.0000,1515.4000,326.6000,9000.0000,0,1
C106,C1,trunc,1,1,0,1,far,0,11,10756.1000,1238.3000,517.8000,9000.0000,0,1
C106,C1,trunc,1,1,0,1,deadline,0,10,9900.8000,900.8000,0.0000,9000.0000,0,1
C106,C1,trunc,1,2,0,1,far,0,11,10692.0000,1179.1000,512.9000,9000.0000,0,1
C106,C1,trunc,1,2,0,1,deadline,0,11,10953.5000,1432.8000,520.7000,9000.0000,0,1
C106,C1,double,1,1,1,0,far,0,11,10106.1836,951.8399,154.3437,9000.0000,0,1
C106,C1,double,1,1,1,0,deadline,0,10,9918.3195,909.8456,8.4739,9000.0000,0,1
C106,C1,double,1,2,1,0,far,0,11,10094.4086,952.9064,141.5022,9000.0000,0,1
C106,C1,double,1,2,1,0,deadline,0,12,10867.8648,1519.4618,348.4030,9000.0000,0,1
C106,C1,double,1,1,0,1,far,0,11,10435.3658,1253.5663,181.7995,9000.0000,0,1
C106,C1,double,1,1,0,1,deadline,0,10,9896.6746,896.6746,0.0000,9000.0000,0,1
C106,C1,double,1,2,0,1,far,0,12,10453.8933,1267.9463,185.9470,9000.0000,0,1
