design,config,neighborhoods,instance,family,distance,vehicles,feasible,gap_pct
cumul,2-opt intra+Swap+2-opt*+Relocate+Or-opt,"twoopt,swap,twooptstar,relocate,oropt",C105,C1,827.3,10,1,0.0
cumul,2-opt intra+Swap+2-opt*+Relocate+Or-opt,"twoopt,swap,twooptstar,relocate,oropt",C107,C1,827.3,10,1,0.0
cumul,2-opt intra+Swap+2-opt*+Relocate+Or-opt,"twoopt,swap,twooptstar,relocate,oropt",C108,C1,827.3,10,1,0.0
cumul,2-opt intra+Swap+2-opt*+Relocate+Or-opt,"twoopt,swap,twooptstar,relocate,oropt",C203,C2,635.3,4,1,7.9157
cumul,2-opt intra+Swap+2-opt*+Relocate+Or-opt,"twoopt,swap,twooptstar,relocate,oropt",C206,C2,586.0,3,1,0.0
cumul,2-opt intra+Swap+2-opt*+Relocate+Or-opt,"twoopt,swap,twooptstar,relocate,oropt",C207,C2,585.8,3,1,0.0
cumul,2-opt intra+Swap+2-opt*+Relocate+Or-opt,"twoopt,swap,twooptstar,relocate,oropt",C208,C2,632.3,3,1,7.9379
cumul,2-opt intra+Swap+2-opt*+Relocate+Or-opt,"twoopt,swap,twooptstar,relocate,oropt",R102,R1,1493.0,19,1,1.8001
cumul,2-opt intra+Swap+2-opt*+Relocate+Or-opt,"twoopt,swap,twooptstar,relocate,oropt",R103,R1,1272.0,16,1,5.237
cumul,2-opt intra+Swap+2-opt*+Relocate+Or-opt,"twoopt,swap,twooptstar,relocate,oropt",R105,R1,1414.4,15,1,4.3607
cumul,2-opt intra+Swap+2-opt*+Relocate+Or-opt,"twoopt,swap,twooptstar,relocate,oropt",R107,R1,1159.1,12,1,8.8766
cumul,2-opt intra+Swap+2-opt*+Relocate+Or-opt,"twoopt,swap,twooptstar,relocate,oropt",R108,R1,1080.4,11,1,15.9103
cumul,2-opt intra+Swap+2-opt*+Relocate+Or-opt,"twoopt,swap,twooptstar,relocate,oropt",R111,R1,1190.9,12,1,13.5596
cumul,2-opt intra+Swap+2-opt*+Relocate+Or-opt,"twoopt,swap,twooptstar,relocate,oropt",R202,R2,1173.8,4,1,14.0054
cumul,2-opt intra+Swap+2-opt*+Relocate+Or-opt,"twoopt,swap,twooptstar,relocate,oropt",R204,R2,828.9,4,1,13.3461
cumul,2-opt intra+Swap+2-opt*+Relocate+Or-opt,"twoopt,swap,twooptstar,relocate,oropt",R207,R2,873.5,3,1,10.0126
cumul,2-opt intra+Swap+2-opt*+Relocate+Or-opt,"twoopt,swap,twooptstar,relocate,oropt",R208,R2,802.8,3,1,14.5221
cumul,2-opt intra+Swap+2-opt*+Relocate+Or-opt,"twoopt,swap,twooptstar,relocate,oropt",R209,R2,954.6,4,1,11.6752
cumul,2-opt intra+Swap+2-opt*+Relocate+Or-opt,"twoopt,swap,twooptstar,relocate,oropt",R211,R2,965.4,3,1,29.2889
cumul,2-opt intra+Swap+2-opt*+Relocate+Or-opt,"twoopt,swap,twooptstar,relocate,oropt",RC102,RC,1533.1,15,1,5.1942
cumul,2-opt intra+Swap+2-opt*+Relocate+Or-opt,"twoopt,swap,twooptstar,relocate,oropt",RC103,RC,1334.9,12,1,6.1129
cumul,2-opt intra+Swap+2-opt*+Relocate+Or-opt,"twoopt,swap,twooptstar,relocate,oropt",RC105,RC,1568.1,15,1,3.5938
cumul,2-opt intra+Swap+2-opt*+Relocate+Or-opt,"twoopt,swap,twooptstar,relocate,oropt",RC108,RC,1242.4,11,1,11.506
cumul,2-opt intra+Swap+2-opt*+Relocate+Or-opt,"twoopt,swap,twooptstar,relocate,oropt",RC202,RC,1288.8,4,1,17.9896
cumul,2-opt intra+Swap+2-opt*+Relocate+Or-opt,"twoopt,swap,twooptstar,relocate,oropt",RC203,RC,1036.9,4,1,12.2551
cumul,2-opt intra+Swap+2-opt*+Relocate+Or-opt,"twoopt,swap,twooptstar,relocate,oropt",RC206,RC,1092.8,4,1,3.9673
cumul,2-opt intra+Swap+2-opt*+Relocate+Or-opt,"twoopt,swap,twooptstar,relocate,oropt",RC208,RC,926.6,3,1,19.3918
cumul,2-opt intra+Swap+2-opt*+Relocate+Or-opt+Cross-exch.,"twoopt,swap,twooptstar,relocate,oropt,cross",C104,C1,876.7,10,1,6.5379
cumul,2-opt intra+Swap+2-opt*+Relocate+Or-opt+Cross-exch.,"twoopt,swap,twooptstar,relocate,oropt,cross",C105,C1,827.3,10,1,0.0
cumul,2-opt intra+Swap+2-opt*+Relocate+Or-opt+Cross-exch.,"twoopt,swap,twooptstar,relocate,oropt,cross",C107,C1,827.3,10,1,0.0
cumul,2-opt intra+Swap+2-opt*+Relocate+Or-opt+Cross-exch.,"twoopt,swap,twooptstar,relocate,oropt,cross",C108,C1,827.3,10,1,0.0
cumul,2-opt intra+Swap+2-opt*+Relocate+Or-opt+Cross-exch.,"twoopt,swap,twooptstar,relocate,oropt,cross",C203,C2,635.3,4,1,7.9157
cumul,2-opt intra+Swap+2-opt*+Relocate+Or-opt+Cross-exch.,"twoopt,swap,twooptstar,relocate,oropt,cross",C206,C2,586.0,3,1,0.0
cumul,2-opt intra+Swap+2-opt*+Relocate+Or-opt+Cross-exch.,"twoopt,swap,twooptstar,relocate,oropt,cross",C207,C2,585.8,3,1,0.0
cumul,2-opt intra+Swap+2-opt*+Relocate+Or-opt+Cross-exch.,"twoopt,swap,twooptstar,relocate,oropt,cross",C208,C2,632.3,3,1,7.9379
cumul,2-opt intra+Swap+2-opt*+Relocate+Or-opt+Cross-exch.,"twoopt,swap,twooptstar,relocate,oropt,cross",R102,R1,1493.0,19,1,1.8001
cumul,2-opt intra+Swap+2-opt*+Relocate+Or-opt+Cross-exch.,"twoopt,swap,twooptstar,relocate,oropt,cross",R103,R1,1272.0,16,1,5.237
cumul,2-opt intra+Swap+2-opt*+Relocate+Or-opt+Cross-exch.,"twoopt,swap,twooptstar,relocate,oropt,cross",R105,R1,1414.4,15,1,4.3607
cumul,2-opt intra+Swap+2-opt*+Relocate+Or-opt+Cross-exch.,"twoopt,swap,twooptstar,relocate,oropt,cross",R107,R1,1159.1,12,1,8.8766
cumul,2-opt intra+Swap+2-opt*+Relocate+Or-opt+Cross-exch.,"twoopt,swap,twooptstar,relocate,oropt,cross",R108,R1,1042.6,11,1,11.855
cumul,2-opt intra+Swap+2-opt*+Relocate+Or-opt+Cross-exch.,"twoopt,swap,twooptstar,relocate,oropt,cross",R111,R1,1190.9,12,1,13.5596
cumul,2-opt intra+Swap+2-opt*+Relocate+Or-opt+Cross-exch.,"twoopt,swap,twooptstar,relocate,oropt,cross",R202,R2,1173.8,4,1,14.0054
cumul,2-opt intra+Swap+2-opt*+Relocate+Or-opt+Cross-exch.,"twoopt,swap,twooptstar,relocate,oropt,cross",R204,R2,828.9,4,1,13.3461
cumul,2-opt intra+Swap+2-opt*+Relocate+Or-opt+Cross-exch.,"twoopt,swap,twooptstar,relocate,oropt,cross",R207,R2,873.5,3,1,10.0126
cumul,2-opt intra+Swap+2-opt*+Relocate+Or-opt+Cross-exch.,"twoopt,swap,twooptstar,relocate,oropt,cross",R208,R2,792.7,3,1,13.0813
cumul,2-opt intra+Swap+2-opt*+Relocate+Or-opt+Cross-exch.,"twoopt,swap,twooptstar,relocate,oropt,cross",R209,R2,954.6,4,1,11.6752
cumul,2-opt intra+Swap+2-opt*+Relocate+Or-opt+Cross-exch.,"twoopt,swap,twooptstar,relocate,oropt,cross",R211,R2,965.4,3,1,29.2889
cumul,2-opt intra+Swap+2-opt*+Relocate+Or-opt+Cross-exch.,"twoopt,swap,twooptstar,relocate,oropt,cross",RC102,RC,1533.1,15,1,5.1942
cumul,2-opt intra+Swap+2-opt*+Relocate+Or-opt+Cross-exch.,"twoopt,swap,twooptstar,relocate,oropt,cross",RC103,RC,1334.9,12,1,6.1129
cumul,2-opt intra+Swap+2-opt*+Relocate+Or-opt+Cross-exch.,"twoopt,swap,twooptstar,relocate,oropt,cross",RC105,RC,1568.1,15,1,3.5938
cumul,2-opt intra+Swap+2-opt*+Relocate+Or-opt+Cross-exch.,"twoopt,swap,twooptstar,relocate,oropt,cross",RC108,RC,1183.8,11,1,6.2466
cumul,2-opt intra+Swap+2-opt*+Relocate+Or-opt+Cross-exch.,"twoopt,swap,twooptstar,relocate,oropt,cross",RC202,RC,1288.8,4,1,17.9896
cumul,2-opt intra+Swap+2-opt*+Relocate+Or-opt+Cross-exch.,"twoopt,swap,twooptstar,relocate,oropt,cross",RC203,RC,1006.8,4,1,8.9964
cumul,2-opt intra+Swap+2-opt*+Relocate+Or-opt+Cross-exch.,"twoopt,swap,twooptstar,relocate,oropt,cross",RC206,RC,1092.8,4,1,3.9673
cumul,2-opt intra+Swap+2-opt*+Relocate+Or-opt+Cross-exch.,"twoopt,swap,twooptstar,relocate,oropt,cross",RC208,RC,926.6,3,1,19.3918
loo,sem 2-opt intra,"swap,twooptstar,relocate,oropt,cross",C104,C1,958.4,10,1,16.4662
loo,sem 2-opt intra,"swap,twooptstar,relocate,oropt,cross",C105,C1,827.3,10,1,0.0
loo,sem 2-opt intra,"swap,twooptstar,relocate,oropt,cross",C107,C1,827.3,10,1,0.0
loo,sem 2-opt intra,"swap,twooptstar,relocate,oropt,cross",C108,C1,827.3,10,1,0.0
loo,sem 2-opt intra,"swap,twooptstar,relocate,oropt,cross",C203,C2,635.3,4,1,7.9157
loo,sem 2-opt intra,"swap,twooptstar,relocate,oropt,cross",C206,C2,586.0,3,1,0.0
loo,sem 2-opt intra,"swap,twooptstar,relocate,oropt,cross",C207,C2,585.8,3,1,0.0
loo,sem 2-opt intra,"swap,twooptstar,relocate,oropt,cross",C208,C2,632.3,3,1,7.9379
loo,sem 2-opt intra,"swap,twooptstar,relocate,oropt,cross",R102,R1,1493.0,19,1,1.8001
loo,sem 2-opt intra,"swap,twooptstar,relocate,oropt,cross",R103,R1,1263.6,16,1,4.5421
loo,sem 2-opt intra,"swap,twooptstar,relocate,oropt,cross",R105,R1,1414.4,15,1,4.3607
loo,sem 2-opt intra,"swap,twooptstar,relocate,oropt,cross",R107,R1,1175.4,12,1,10.4077
loo,sem 2-opt intra,"swap,twooptstar,relocate,oropt,cross",R108,R1,1071.4,11,1,14.9447
loo,sem 2-opt intra,"swap,twooptstar,relocate,oropt,cross",R111,R1,1182.9,12,1,12.7968
loo,sem 2-opt intra,"swap,twooptstar,relocate,oropt,cross",R202,R2,1127.8,4,1,9.5377
loo,sem 2-opt intra,"swap,twooptstar,relocate,oropt,cross",R204,R2,826.0,4,1,12.9495
loo,sem 2-opt intra,"swap,twooptstar,relocate,oropt,cross",R207,R2,897.1,3,1,12.9849
loo,sem 2-opt intra,"swap,twooptstar,relocate,oropt,cross",R208,R2,794.0,3,1,13.2668
loo,sem 2-opt intra,"swap,twooptstar,relocate,oropt,cross",R209,R2,937.6,4,1,9.6865
loo,sem 2-opt intra,"swap,twooptstar,relocate,oropt,cross",R211,R2,935.1,3,1,25.231
loo,sem 2-opt intra,"swap,twooptstar,relocate,oropt,cross",RC102,RC,1533.1,15,1,5.1942
loo,sem 2-opt intra,"swap,twooptstar,relocate,oropt,cross",RC103,RC,1334.9,12,1,6.1129
loo,sem 2-opt intra,"swap,twooptstar,relocate,oropt,cross",RC105,RC,1568.1,15,1,3.5938
loo,sem 2-opt intra,"swap,twooptstar,relocate,oropt,cross",RC108,RC,1181.4,11,1,6.0312
loo,sem 2-opt intra,"swap,twooptstar,relocate,oropt,cross",RC202,RC,1302.3,4,1,19.2255
loo,sem 2-opt intra,"swap,twooptstar,relocate,oropt,cross",RC203,RC,1086.3,4,1,17.6031
loo,sem 2-opt intra,"swap,twooptstar,relocate,oropt,cross",RC206,RC,1233.2,4,1,17.3247
loo,sem 2-opt intra,"swap,twooptstar,relocate,oropt,cross",RC208,RC,924.4,3,1,19.1084
loo,sem Swap,"twoopt,twooptstar,relocate,oropt,cross",C104,C1,876.6,10,1,6.5257
loo,sem Swap,"twoopt,twooptstar,relocate,oropt,cross",C105,C1,827.3,10,1,0.0
loo,sem Swap,"twoopt,twooptstar,relocate,oropt,cross",C107,C1,827.3,10,1,0.0
loo,sem Swap,"twoopt,twooptstar,relocate,oropt,cross",C108,C1,827.3,10,1,0.0
loo,sem Swap,"twoopt,twooptstar,relocate,oropt,cross",C203,C2,635.3,4,1,7.9157
loo,sem Swap,"twoopt,twooptstar,relocate,oropt,cross",C206,C2,586.0,3,1,0.0
loo,sem Swap,"twoopt,twooptstar,relocate,oropt,cross",C207,C2,585.8,3,1,0.0
loo,sem Swap,"twoopt,twooptstar,relocate,oropt,cross",C208,C2,632.3,3,1,7.9379
loo,sem Swap,"twoopt,twooptstar,relocate,oropt,cross",R102,R1,1497.5,19,1,2.1069
loo,sem Swap,"twoopt,twooptstar,relocate,oropt,cross",R103,R1,1290.3,16,1,6.7511
loo,sem Swap,"twoopt,twooptstar,relocate,oropt,cross",R105,R1,1406.2,15,1,3.7556
loo,sem Swap,"twoopt,twooptstar,relocate,oropt,cross",R107,R1,1170.6,12,1,9.9568
loo,sem Swap,"twoopt,twooptstar,relocate,oropt,cross",R108,R1,1037.2,10,1,11.2756
loo,sem Swap,"twoopt,twooptstar,relocate,oropt,cross",R111,R1,1184.2,12,1,12.9208
loo,sem Swap,"twoopt,twooptstar,relocate,oropt,cross",R202,R2,1128.2,4,1,9.5765
loo,sem Swap,"twoopt,twooptstar,relocate,oropt,cross",R204,R2,834.3,4,1,14.0845
loo,sem Swap,"twoopt,twooptstar,relocate,oropt,cross",R207,R2,931.5,3,1,17.3174
loo,sem Swap,"twoopt,twooptstar,relocate,oropt,cross",R208,R2,782.7,3,1,11.6548
loo,sem Swap,"twoopt,twooptstar,relocate,oropt,cross",R209,R2,982.4,4,1,14.9275
loo,sem Swap,"twoopt,twooptstar,relocate,oropt,cross",R211,R2,941.4,3,1,26.0747
loo,sem Swap,"twoopt,twooptstar,relocate,oropt,cross",RC102,RC,1533.5,15,1,5.2216
loo,sem Swap,"twoopt,twooptstar,relocate,oropt,cross",RC103,RC,1360.7,12,1,8.1638
loo,sem Swap,"twoopt,twooptstar,relocate,oropt,cross",RC105,RC,1602.5,16,1,5.8664
loo,sem Swap,"twoopt,twooptstar,relocate,oropt,cross",RC108,RC,1190.1,11,1,6.8121
loo,sem Swap,"twoopt,twooptstar,relocate,oropt,cross",RC202,RC,1276.5,4,1,16.8635
loo,sem Swap,"twoopt,twooptstar,relocate,oropt,cross",RC203,RC,1077.8,4,1,16.6829
loo,sem Swap,"twoopt,twooptstar,relocate,oropt,cross",RC206,RC,1205.4,4,1,14.6799
loo,sem Swap,"twoopt,twooptstar,relocate,oropt,cross",RC208,RC,942.7,3,1,21.4663
loo,sem 2-opt*,"twoopt,swap,relocate,oropt,cross",C104,C1,876.7,10,1,6.5379
loo,sem 2-opt*,"twoopt,swap,relocate,oropt,cross",C105,C1,827.3,10,1,0.0
loo,sem 2-opt*,"twoopt,swap,relocate,oropt,cross",C107,C1,827.3,10,1,0.0
loo,sem 2-opt*,"twoopt,swap,relocate,oropt,cross",C108,C1,827.3,10,1,0.0
loo,sem 2-opt*,"twoopt,swap,relocate,oropt,cross",C203,C2,622.2,4,1,5.6905
loo,sem 2-opt*,"twoopt,swap,relocate,oropt,cross",C206,C2,586.0,3,1,0.0
loo,sem 2-opt*,"twoopt,swap,relocate,oropt,cross",C207,C2,585.8,3,1,0.0
loo,sem 2-opt*,"twoopt,swap,relocate,oropt,cross",C208,C2,585.8,3,1,0.0
loo,sem 2-opt*,"twoopt,swap,relocate,oropt,cross",R102,R1,1506.0,19,1,2.6865
loo,sem 2-opt*,"twoopt,swap,relocate,oropt,cross",R103,R1,1303.7,16,1,7.8597
loo,sem 2-opt*,"twoopt,swap,relocate,oropt,cross",R105,R1,1440.5,15,1,6.2864
loo,sem 2-opt*,"twoopt,swap,relocate,oropt,cross",R107,R1,1208.0,12,1,13.4698
loo,sem 2-opt*,"twoopt,swap,relocate,oropt,cross",R108,R1,1043.8,11,1,11.9837
