algorithm,instance,family,type,dist_mean,dist_best,dist_std,veh_mean,gap_mean,gap_best,time_mean_ms,iters_mean,improvements_mean,time_to_best_mean_ms,useful_pct_mean
grasp,R101,R,1,1640.6166666666666,1638.2,0.9770057471094827,20.0,0.1782,0.031,26772.633333333335,1399.6666666666667,9.133333333333333,11475.166666666666,38.18518513269541
grasp,R102,R,1,1466.79,1466.6,0.2397556227092384,18.0,0.012966666666666666,0.0,49134.8,1384.0666666666666,9.133333333333333,20663.966666666667,37.588337391124846
grasp,R103,R,1,1221.7966666666666,1213.7,3.2317907210040047,14.2,1.0835333333333332,0.414,47622.23333333333,1405.9333333333334,9.0,20766.633333333335,37.38676498786298
grasp,R104,R,1,999.7233333333334,989.1,5.532143273217189,11.333333333333334,2.905133333333333,1.812,44324.6,1296.6333333333334,9.0,16980.933333333334,32.260001584427954
grasp,R105,R,1,1370.02,1358.7,4.956876101906875,15.566666666666666,1.0861333333333334,0.251,37189.46666666667,1512.5333333333333,9.066666666666666,17602.7,41.11455224923921
grasp,R106,R,1,1251.2066666666665,1243.4,5.260846485797297,13.266666666666667,1.3451,0.713,41719.2,1315.8333333333333,9.2,16531.4,32.393865124260564
grasp,R107,R,1,1092.0466666666666,1078.7,5.942873642139474,11.866666666666667,2.5780666666666665,1.324,40913.333333333336,1271.1333333333334,8.633333333333333,15281.133333333333,31.78601422487535
grasp,R108,R,1,959.56,945.0,4.841743772508085,10.9,2.9460333333333333,1.384,48814.1,1439.9666666666667,8.833333333333334,21820.166666666668,36.54498145524208
grasp,R109,R,1,1166.8899999999999,1154.1,6.231087246689935,13.033333333333333,1.7430333333333332,0.628,38489.9,1418.1,9.033333333333333,16769.433333333334,37.164137858129706
grasp,R110,R,1,1107.4533333333334,1089.5,7.024525181319257,12.133333333333333,3.694,2.013,42658.0,1456.3666666666666,9.166666666666666,19315.066666666666,39.76617086464236
grasp,R111,R,1,1070.5966666666666,1060.6,5.824353350718256,11.966666666666667,2.088033333333333,1.135,46982.066666666666,1423.5333333333333,9.033333333333333,20628.033333333333,37.86190389506594
grasp,R112,R,1,981.9566666666667,960.8,6.46052647226606,10.666666666666666,3.516433333333333,1.286,39450.333333333336,1376.0333333333333,9.366666666666667,16500.2,36.93961838403525
grasp,R201,R,2,1195.85,1184.8,5.683354400473288,5.133333333333334,4.605466666666667,3.639,70541.86666666667,1468.2333333333333,8.733333333333333,31984.533333333333,39.56540470209472
grasp,R202,R,2,1047.4433333333334,1037.7,5.9370655315935625,5.0,1.7330333333333334,0.787,96120.43333333333,1382.9,9.0,40509.066666666666,36.964418197482324
grasp,R203,R,2,901.7066666666667,894.5,4.834497679810383,4.033333333333333,3.5491666666666664,2.722,128892.4,1395.7333333333333,9.033333333333333,54426.166666666664,37.39655713039617
grasp,R204,R,2,748.7466666666667,739.4,3.526034534747183,3.533333333333333,2.3856333333333333,1.108,144425.9,1548.9,8.733333333333333,69285.13333333333,40.08168514220686
grasp,R205,R,2,979.3566666666667,962.0,7.271469202837634,4.0,3.1118,1.284,70766.46666666666,1295.3333333333333,8.633333333333333,27042.266666666666,33.84127109603377
grasp,R206,R,2,902.8866666666667,890.3,6.354457210240829,4.0,3.0810666666666666,1.644,89557.33333333333,1276.7,8.4,33593.03333333333,33.89172905153003
grasp,R207,R,2,824.62,813.7,6.071039222520256,3.1,3.8564333333333334,2.481,135011.76666666666,1528.2333333333333,9.133333333333333,63574.933333333334,40.48389512255421
grasp,R208,R,2,709.7566666666667,704.3,2.836909845459382,3.0,1.2491999999999999,0.471,120462.13333333333,1390.5333333333333,8.5,50445.433333333334,35.32472993944881
grasp,R209,R,2,881.0533333333333,862.4,7.3537573475357885,4.0,3.071266666666667,0.889,93786.36666666667,1554.4,8.533333333333333,45031.63333333333,42.06541821987129
grasp,R210,R,2,931.3233333333334,917.3,6.5726016123010895,4.033333333333333,3.4229666666666665,1.866,104130.76666666666,1497.2666666666667,9.066666666666666,47948.73333333333,39.12146160809523
grasp,R211,R,2,785.1833333333333,776.3,5.491754529846724,3.0,5.1538,3.964,84936.16666666667,1469.9333333333334,8.9,38211.833333333336,37.964008362669865
grasp,RC101,RC,1,1645.3266666666668,1638.9,4.72833960310586,16.5,1.5759333333333332,1.179,32746.266666666666,1378.3333333333333,7.766666666666667,13759.166666666666,35.92226265051753
grasp,RC102,RC,1,1481.0666666666666,1461.1,5.6987193560352605,14.733333333333333,1.6239,0.254,47472.76666666667,1512.2333333333333,8.866666666666667,22371.833333333332,42.16987264695926
grasp,RC103,RC,1,1288.5233333333333,1273.6,7.330554071044379,12.0,2.4263333333333335,1.24,53487.5,1535.4666666666667,9.433333333333334,25764.033333333333,42.028014672953866
grasp,RC104,RC,1,1162.97,1150.2,6.198895897240655,10.733333333333333,2.7085999999999997,1.581,44395.36666666667,1378.6666666666667,8.766666666666667,18773.333333333332,34.44433862880389
grasp,RC105,RC,1,1547.6033333333332,1534.4,7.003077320294485,15.9,2.2398000000000002,1.368,51944.03333333333,1584.2333333333333,9.466666666666667,25848.9,44.16009365371401
grasp,RC106,RC,1,1405.4766666666667,1388.7,6.86051588154416,13.566666666666666,2.3877666666666664,1.166,36768.933333333334,1367.4333333333334,8.466666666666667,15422.833333333334,37.129120464401396
grasp,RC107,RC,1,1245.9666666666667,1218.1,10.513844184703801,12.566666666666666,3.1599333333333335,0.853,38066.566666666666,1259.2333333333333,9.066666666666666,13976.3,31.258992889420128
grasp,RC108,RC,1,1139.5766666666668,1124.4,7.612905708948011,11.066666666666666,2.2774666666666668,0.915,40956.96666666667,1368.4333333333334,8.2,17083.266666666666,36.73223110644191
grasp,RC201,RC,2,1316.2766666666669,1291.3,10.098742951249038,5.433333333333334,4.3174,2.338,55110.86666666667,1322.5666666666666,8.1,21649.666666666668,31.621118187724328
grasp,RC202,RC,2,1116.7933333333335,1115.7,2.7761214985502165,5.0,2.242233333333333,2.142,74817.73333333334,1191.1,7.9,24354.633333333335,29.242255927524678
grasp,RC203,RC,2,960.1166666666667,942.0,9.406310549887216,4.4,3.9425000000000003,1.981,119966.6,1560.3666666666666,8.6,58103.066666666666,41.89501648653842
grasp,RC204,RC,2,790.6,783.5,5.37523054838356,4.0,0.9061666666666668,0.0,118320.53333333334,1428.9,9.1,51611.566666666666,39.72480896538181
grasp,RC205,RC,2,1204.0800000000002,1180.0,13.004386527841953,6.033333333333333,4.339733333333333,2.253,71458.6,1294.0666666666666,8.766666666666667,27261.833333333332,31.53349391349907
grasp,RC206,RC,2,1082.2433333333333,1076.4,3.7489017548898245,4.166666666666667,2.9627666666666665,2.407,71768.0,1395.9,8.8,30464.466666666667,37.508472551583054
grasp,RC207,RC,2,1002.5133333333334,981.2,9.848638391215273,4.933333333333334,4.113966666666666,1.901,87478.43333333333,1348.1333333333334,8.6,35347.433333333334,35.709241735915654
grasp,RC208,RC,2,835.1766666666666,788.1,18.413800733994723,3.933333333333333,7.6119666666666665,1.546,73279.26666666666,1404.5333333333333,9.033333333333333,31245.9,38.525583403854625
i1,C101,C,1,922.0,922.0,0.0,10.0,11.447,11.447,0.0,0.0,0.0,,0.0
i1,C102,C,1,1039.7,1039.7,0.0,10.0,25.674,25.674,0.0,0.0,0.0,,0.0
i1,C103,C,1,1221.7,1221.7,0.0,11.0,47.852,47.852,0.0,0.0,0.0,,0.0
i1,C104,C,1,1148.2,1148.2,0.0,10.0,39.531,39.531,0.0,0.0,0.0,,0.0
i1,C105,C,1,878.9,878.9,0.0,10.0,6.237,6.237,0.0,0.0,0.0,,0.0
i1,C106,C,1,951.2,951.2,0.0,11.0,14.976,14.976,0.0,0.0,0.0,,0.0
i1,C107,C,1,902.4,902.4,0.0,10.0,9.078,9.078,0.0,0.0,0.0,,0.0
i1,C108,C,1,975.2,975.2,0.0,10.0,17.877,17.877,0.0,0.0,0.0,,0.0
i1,C109,C,1,933.1,933.1,0.0,11.0,12.789,12.789,0.0,0.0,0.0,,0.0
i1,C201,C,2,609.1,609.1,0.0,3.0,3.395,3.395,0.0,0.0,0.0,,0.0
i1,C202,C,2,793.0,793.0,0.0,4.0,34.612,34.612,0.0,0.0,0.0,,0.0
i1,C203,C,2,931.4,931.4,0.0,4.0,58.213,58.213,0.0,0.0,0.0,,0.0
i1,C204,C,2,1138.4,1138.4,0.0,4.0,93.573,93.573,0.0,0.0,0.0,,0.0
i1,C205,C,2,667.6,667.6,0.0,4.0,13.847,13.847,0.0,0.0,0.0,,0.0
i1,C206,C,2,660.6,660.6,0.0,3.0,12.73,12.73,0.0,0.0,0.0,,0.0
i1,C207,C,2,747.1,747.1,0.0,3.0,27.535,27.535,0.0,0.0,0.0,,0.0
i1,C208,C,2,717.6,717.6,0.0,3.0,22.499,22.499,0.0,0.0,0.0,,0.0
i1,R101,R,1,1867.1,1867.1,0.0,21.0,14.007,14.007,0.0,0.0,0.0,,0.0
i1,R102,R,1,1711.0,1711.0,0.0,19.0,16.664,16.664,0.0,0.0,0.0,,0.0
i1,R103,R,1,1550.0,1550.0,0.0,16.0,28.237,28.237,0.0,0.0,0.0,,0.0
i1,R104,R,1,1267.5,1267.5,0.0,12.0,30.468,30.468,0.0,0.0,0.0,,0.0
i1,R105,R,1,1593.4,1593.4,0.0,15.0,17.568,17.568,0.0,0.0,0.0,,0.0
i1,R106,R,1,1446.6,1446.6,0.0,14.0,17.172,17.172,0.0,0.0,0.0,,0.0
