config,neighborhoods,instance,family,type,dist,veh,time_ms,gap_pct
sem:2-opt,"relocate,oropt,swap,cross",C106,C,1,827.3,10,9,0.0
sem:Cross-exch.,"relocate,oropt,swap,twoopt",C106,C,1,827.3,10,7,0.0
cumul:Relocate,relocate,C107,C,1,827.3,10,2,0.0
cumul:Relocate+Or-opt,"relocate,oropt",C107,C,1,827.3,10,4,0.0
cumul:Relocate+Or-opt+Swap,"relocate,oropt,swap",C107,C,1,827.3,10,4,0.0
cumul:Relocate+Or-opt+Swap+2-opt,"relocate,oropt,swap,twoopt",C107,C,1,827.3,10,4,0.0
cumul:Relocate+Or-opt+Swap+2-opt+Cross-exch.,"relocate,oropt,swap,twoopt,cross",C107,C,1,827.3,10,7,0.0
sem:Relocate,"oropt,swap,twoopt,cross",C107,C,1,865.2,10,12,4.581167653813622
sem:Or-opt,"relocate,swap,twoopt,cross",C107,C,1,827.3,10,5,0.0
sem:Swap,"relocate,oropt,twoopt,cross",C107,C,1,827.3,10,7,0.0
sem:2-opt,"relocate,oropt,swap,cross",C107,C,1,827.3,10,7,0.0
sem:Cross-exch.,"relocate,oropt,swap,twoopt",C107,C,1,827.3,10,4,0.0
cumul:Relocate,relocate,C108,C,1,827.3,10,6,0.0
cumul:Relocate+Or-opt,"relocate,oropt",C108,C,1,827.3,10,7,0.0
cumul:Relocate+Or-opt+Swap,"relocate,oropt,swap",C108,C,1,827.3,10,8,0.0
cumul:Relocate+Or-opt+Swap+2-opt,"relocate,oropt,swap,twoopt",C108,C,1,827.3,10,8,0.0
cumul:Relocate+Or-opt+Swap+2-opt+Cross-exch.,"relocate,oropt,swap,twoopt,cross",C108,C,1,827.3,10,10,0.0
sem:Relocate,"oropt,swap,twoopt,cross",C108,C,1,890.2,10,26,7.603046053426822
sem:Or-opt,"relocate,swap,twoopt,cross",C108,C,1,827.3,10,9,0.0
sem:Swap,"relocate,oropt,twoopt,cross",C108,C,1,827.3,10,10,0.0
sem:2-opt,"relocate,oropt,swap,cross",C108,C,1,827.3,10,10,0.0
sem:Cross-exch.,"relocate,oropt,swap,twoopt",C108,C,1,827.3,10,8,0.0
cumul:Relocate,relocate,C109,C,1,880.2,11,6,6.394294693581541
cumul:Relocate+Or-opt,"relocate,oropt",C109,C,1,880.2,11,8,6.394294693581541
cumul:Relocate+Or-opt+Swap,"relocate,oropt,swap",C109,C,1,880.2,11,8,6.394294693581541
cumul:Relocate+Or-opt+Swap+2-opt,"relocate,oropt,swap,twoopt",C109,C,1,880.2,11,8,6.394294693581541
cumul:Relocate+Or-opt+Swap+2-opt+Cross-exch.,"relocate,oropt,swap,twoopt,cross",C109,C,1,880.2,11,11,6.394294693581541
sem:Relocate,"oropt,swap,twoopt,cross",C109,C,1,891.4,11,17,7.748096216608246
sem:Or-opt,"relocate,swap,twoopt,cross",C109,C,1,880.2,11,9,6.394294693581541
sem:Swap,"relocate,oropt,twoopt,cross",C109,C,1,880.2,11,10,6.394294693581541
sem:2-opt,"relocate,oropt,swap,cross",C109,C,1,880.2,11,11,6.394294693581541
sem:Cross-exch.,"relocate,oropt,swap,twoopt",C109,C,1,880.2,11,8,6.394294693581541
cumul:Relocate,relocate,C201,C,2,589.1,3,2,0.0
cumul:Relocate+Or-opt,"relocate,oropt",C201,C,2,589.1,3,5,0.0
cumul:Relocate+Or-opt+Swap,"relocate,oropt,swap",C201,C,2,589.1,3,5,0.0
