algorithm,instance,family,type,dist_mean,dist_best,dist_std,veh_mean,gap_mean,gap_best
grasp,RC103,RC,1,1295.15,1275.0,9.271489483431415,11.666666666666666,2.9531666666666667,1.351
grasp,RC104,RC,1,1165.7633333333333,1149.9,6.660873057269397,10.833333333333334,2.9553333333333334,1.554
grasp,RC105,RC,1,1545.1966666666667,1532.4,6.717115726125374,15.533333333333333,2.0807333333333333,1.235
grasp,RC106,RC,1,1410.2533333333333,1388.5,9.046879185028725,13.5,2.7357333333333336,1.151
grasp,RC107,RC,1,1251.9233333333332,1220.4,13.316173296573131,12.433333333333334,3.6531000000000002,1.043
grasp,RC108,RC,1,1140.9733333333331,1114.2,11.056560958538808,11.033333333333333,2.402933333333333,0.0
grasp,RC201,RC,2,1378.7633333333333,1300.3,22.79763271638669,5.133333333333334,9.269566666666666,3.051
grasp,RC202,RC,2,1193.7066666666665,1144.1,21.726559835805894,5.0,9.283733333333334,4.742
grasp,RC203,RC,2,1015.49,976.1,18.099539906516565,4.0,9.937266666666666,5.673
grasp,RC204,RC,2,802.9833333333333,798.2,5.888450609006827,4.0,2.4867333333333335,1.876
grasp,RC205,RC,2,1267.9,1230.0,19.351574826764363,5.733333333333333,9.870033333333334,6.586
grasp,RC206,RC,2,1110.0600000000002,1090.4,8.860941025764012,4.1,5.609366666666667,3.739
grasp,RC207,RC,2,1026.1833333333334,1013.9,6.767981583355803,4.0,6.572133333333334,5.297
grasp,RC208,RC,2,879.2533333333333,843.2,13.544504760064196,3.0,13.2913,8.646
i1,C101,C,1,922.0,922.0,0.0,10.0,11.447,11.447
i1,C102,C,1,1039.7,1039.7,0.0,10.0,25.674,25.674
i1,C103,C,1,1221.7,1221.7,0.0,11.0,47.852,47.852
i1,C104,C,1,1148.2,1148.2,0.0,10.0,39.531,39.531
i1,C105,C,1,878.9,878.9,0.0,10.0,6.237,6.237
i1,C106,C,1,951.2,951.2,0.0,11.0,14.976,14.976
i1,C107,C,1,902.4,902.4,0.0,10.0,9.078,9.078
i1,C108,C,1,975.2,975.2,0.0,10.0,17.877,17.877
i1,C109,C,1,933.1,933.1,0.0,11.0,12.789,12.789
i1,C201,C,2,609.1,609.1,0.0,3.0,3.395,3.395
i1,C202,C,2,793.0,793.0,0.0,4.0,34.612,34.612
i1,C203,C,2,931.4,931.4,0.0,4.0,58.213,58.213
i1,C204,C,2,1138.4,1138.4,0.0,4.0,93.573,93.573
i1,C205,C,2,667.6,667.6,0.0,4.0,13.847,13.847
i1,C206,C,2,660.6,660.6,0.0,3.0,12.73,12.73
i1,C207,C,2,747.1,747.1,0.0,3.0,27.535,27.535
i1,C208,C,2,717.6,717.6,0.0,3.0,22.499,22.499
i1,R101,R,1,1867.1,1867.1,0.0,21.0,14.007,14.007
i1,R102,R,1,1711.0,1711.0,0.0,19.0,16.664,16.664
i1,R103,R,1,1550.0,1550.0,0.0,16.0,28.237,28.237
i1,R104,R,1,1267.5,1267.5,0.0,12.0,30.468,30.468
i1,R105,R,1,1593.4,1593.4,0.0,15.0,17.568,17.568
i1,R106,R,1,1446.6,1446.6,0.0,14.0,17.172,17.172
i1,R107,R,1,1354.1,1354.1,0.0,12.0,27.193,27.193
i1,R108,R,1,1226.0,1226.0,0.0,11.0,31.531,31.531
i1,R109,R,1,1457.8,1457.8,0.0,14.0,27.108,27.108
i1,R110,R,1,1339.0,1339.0,0.0,12.0,25.375,25.375
i1,R111,R,1,1276.6,1276.6,0.0,12.0,21.732,21.732
i1,R112,R,1,1188.1,1188.1,0.0,11.0,25.248,25.248
i1,R201,R,2,1805.3,1805.3,0.0,5.0,57.916,57.916
i1,R202,R,2,1585.0,1585.0,0.0,4.0,53.943,53.943
i1,R203,R,2,1534.3,1534.3,0.0,4.0,76.194,76.194
i1,R204,R,2,1155.2,1155.2,0.0,4.0,57.965,57.965
i1,R205,R,2,1403.3,1403.3,0.0,4.0,47.747,47.747
i1,R206,R,2,1303.5,1303.5,0.0,3.0,48.818,48.818
i1,R207,R,2,1169.9,1169.9,0.0,3.0,47.343,47.343
i1,R208,R,2,974.0,974.0,0.0,3.0,38.944,38.944
