algorithm,instance,seed,K,distance,gap_pct,derived
rgrasp,R111,1,400,1071.5,2.17412,0
rgrasp,R111,1,800,1071.5,2.17412,0
rgrasp,R111,1,1600,1071.5,2.17412,0
rgrasp,R111,1,3200,1058.5,0.93449,0
rgrasp,R202,1,50,1058.0,2.758353,0
rgrasp,R202,1,100,1058.0,2.758353,0
rgrasp,R202,1,200,1058.0,2.758353,0
rgrasp,R202,1,400,1058.0,2.758353,0
rgrasp,R202,1,800,1058.0,2.758353,0
rgrasp,R202,1,1600,1058.0,2.758353,0
rgrasp,R202,1,3200,1038.4,0.854701,0
rgrasp,R204,1,50,761.9,4.184329,0
rgrasp,R204,1,100,761.9,4.184329,0
rgrasp,R204,1,200,752.1,2.84425,0
rgrasp,R204,1,400,752.1,2.84425,0
rgrasp,R204,1,800,744.5,1.805005,0
rgrasp,R204,1,1600,740.3,1.230685,0
rgrasp,R204,1,3200,740.3,1.230685,0
rgrasp,R207,1,50,837.0,5.415617,0
rgrasp,R207,1,100,837.0,5.415617,0
rgrasp,R207,1,200,837.0,5.415617,0
rgrasp,R207,1,400,837.0,5.415617,0
rgrasp,R207,1,800,824.4,3.828715,0
rgrasp,R207,1,1600,811.1,2.153652,0
rgrasp,R207,1,3200,811.1,2.153652,0
rgrasp,R208,1,50,709.5,1.212553,0
rgrasp,R208,1,100,709.5,1.212553,0
rgrasp,R208,1,200,709.5,1.212553,0
rgrasp,R208,1,400,709.5,1.212553,0
rgrasp,R208,1,800,709.5,1.212553,0
rgrasp,R208,1,1600,706.9,0.841655,0
rgrasp,R208,1,3200,706.9,0.841655,0
rgrasp,R209,1,50,885.4,3.579785,0
rgrasp,R209,1,100,885.4,3.579785,0
rgrasp,R209,1,200,885.4,3.579785,0
rgrasp,R209,1,400,885.4,3.579785,0
rgrasp,R209,1,800,869.2,1.684605,0
rgrasp,R209,1,1600,869.2,1.684605,0
rgrasp,R209,1,3200,869.2,1.684605,0
rgrasp,R211,1,50,814.7,9.106736,0
rgrasp,R211,1,100,807.9,8.196063,0
